,min_loss_val,max_acc_val,h_layers,heights,lr,batch_size,keep_rates,reshuff,max_strikes,max_consec,epochs_min_loss_val,total_sec
9.54E+17,0.335337496,0.877,5,"expanding, (388 => 737)",0.000807961,4200,"range: (0.9592095699975074, 1)",TRUE,2,2,9,136.22
2.87E+17,0.343106727,0.8786,2,"flat, (2196 => 2196)",0.000325566,8112,"range: (0.9261789802434105, 1)",TRUE,2,2,13,382.97
6.70E+17,0.339789928,0.8786,1,"contracting, (1396 => 1083)",0.000422295,1685,"range: (0.9003499126509635, 1)",FALSE,2,2,13,116.32
1.11E+18,0.338642004,0.8788,1,"contracting, (2284 => 1841)",0.000305395,2796,"range: (0.9751883035756236, 1)",FALSE,2,2,17,196.09
6.39E+17,0.334059492,0.8789,6,"flat, (1536 => 1536)",0.000413938,2361,"range: (0.8807846684515762, 1)",TRUE,2,2,10,681.74
8.66E+17,0.330723472,0.8791,5,"flat, (1813 => 1813)",0.000687832,4936,"range: (0.9612549115642266, 1)",FALSE,2,2,10,792
2.47E+17,0.334310215,0.8792,1,"flat, (1823 => 1823)",0.000573043,2403,"range: (0.8937567038957952, 1)",FALSE,2,2,14,137.16
2.19E+18,0.340819358,0.8792,3,"contracting, (765 => 452)",0.000947383,8826,"range: (0.9012655936136501, 1)",TRUE,2,2,16,162.88
1.96E+18,0.327912607,0.8799,8,"flat, (1087 => 1087)",0.000440868,3355,"range: (0.894687040423424, 1)",TRUE,2,2,12,659.38
2.30E+18,0.336717809,0.8804,7,"flat, (595 => 595)",0.0003,5192,"range: (0.8731878486211571, 1)",FALSE,2,2,16,346.05
1.34E+18,0.33072009,0.8806,11,"contracting, (642 => 593)",0.000466474,6866,"range: (0.9766551791033844, 1)",FALSE,2,2,13,401.8
6.29E+17,0.338103388,0.8812,1,"contracting, (734 => 504)",0.0003,1344,"range: (0.9137983689616955, 1)",TRUE,2,2,23,151.82
5.54E+17,0.325768431,0.8814,3,"expanding, (525 => 985)",0.000683248,2551,"range: (0.956892372331582, 1)",TRUE,2,2,8,116.46
1.71E+18,0.325931722,0.8816,2,"contracting, (2264 => 1619)",0.000624233,6248,"range: (0.9942390751943726, 1)",FALSE,2,2,13,325.97
8.27E+17,0.327885337,0.8825,2,"expanding, (375 => 730)",0.000469498,1461,"range: (0.9456304530939578, 1)",FALSE,2,2,12,94.68
1.71E+17,0.33600442,0.8835,13,"contracting, (568 => 527)",0.000326079,5785,"range: (0.9819722346196688, 1)",FALSE,2,2,17,531.47
2.26E+18,0.324507671,0.8836,8,"expanding, (378 => 450)",0.000649443,3254,"range: (0.9231722678900629, 1)",TRUE,2,2,16,269.89
2.02E+17,0.314571143,0.884,2,"flat, (614 => 614)",0.000663988,595,"range: (0.9651534228193387, 1)",FALSE,2,2,7,77.79
1.84E+18,0.325964351,0.8842,5,"flat, (2364 => 2364)",0.000743266,3849,"range: (0.9316381866548062, 1)",TRUE,2,2,13,1347.61
6.65E+17,0.31817339,0.8843,2,"contracting, (2480 => 1977)",0.000977294,2685,"range: (0.9190284853407209, 1)",FALSE,2,2,8,309.79
2.27E+18,0.322827832,0.8845,3,"contracting, (707 => 408)",0.000679575,3579,"range: (0.9856705129920751, 1)",TRUE,2,2,11,121.3
1.57E+18,0.325386686,0.8849,6,"expanding, (619 => 965)",0.000960077,1685,"range: (0.9033097593295427, 1)",TRUE,2,2,7,202.73
2.22E+18,0.315591762,0.8851,4,"flat, (1210 => 1210)",0.000339275,1440,"range: (0.9419443225366632, 1)",FALSE,2,2,6,249.27
9.84E+17,0.314220444,0.8854,4,"expanding, (1581 => 1811)",0.000388661,1398,"range: (0.9298982053859958, 1)",TRUE,2,2,7,482.85
2.04E+18,0.322421892,0.8854,1,"contracting, (2398 => 1995)",0.000425558,3075,"range: (0.9551192768423624, 1)",FALSE,2,2,21,263.07
7.70E+17,0.323755475,0.8855,6,"contracting, (1507 => 1254)",0.000916273,689,"range: (0.9417806054860075, 1)",TRUE,2,2,6,484.59
1.22E+18,0.325682358,0.8855,1,"contracting, (2487 => 2300)",0.000507356,2984,"range: (0.99867968384328, 1)",FALSE,2,2,16,193.35
1.01E+18,0.315890133,0.8863,3,"flat, (2195 => 2195)",0.000904785,4525,"range: (0.969012485077321, 1)",FALSE,2,2,11,641.92
1.98E+18,0.318766231,0.8864,1,"contracting, (2065 => 2032)",0.000592071,2397,"range: (0.960673983899261, 1)",FALSE,2,2,16,182.74
2.06E+18,0.320495,0.8867,2,"contracting, (2487 => 2369)",0.000546916,3327,"range: (0.9970209926332338, 1)",FALSE,2,2,9,380.35
1.74E+18,0.320817182,0.8868,6,"flat, (525 => 525)",0.000488965,3388,"range: (0.9545407370529172, 1)",TRUE,2,2,12,211.16
2.77E+17,0.318760608,0.8868,2,"contracting, (2185 => 1918)",0.000863236,7718,"range: (0.8624856144704768, 1)",FALSE,2,2,18,499.21
1.37E+18,0.317464402,0.8869,2,"flat, (1514 => 1514)",0.000734617,1807,"range: (0.965780371799544, 1)",FALSE,2,2,9,213.41
2.05E+18,0.315310842,0.887,3,"flat, (788 => 788)",0.000766516,4108,"range: (0.9039498489522582, 1)",FALSE,2,2,11,192.39
1.78E+18,0.309517216,0.887,2,"contracting, (2203 => 2078)",0.000616371,3708,"range: (0.9218425611199867, 1)",FALSE,2,2,12,408.45
1.16E+18,0.320611394,0.8871,4,"flat, (1986 => 1986)",0.000942365,2081,"range: (0.9873440294593612, 1)",FALSE,2,2,7,563.84
1.47E+18,0.318067706,0.8872,7,"expanding, (558 => 844)",0.000878851,1123,"range: (0.9209607361464252, 1)",TRUE,2,2,8,237.95
1.32E+18,0.314760023,0.8872,3,"expanding, (737 => 872)",0.000856811,690,"range: (0.9069801904178101, 1)",TRUE,2,2,6,116.7
2.27E+18,0.313076129,0.8872,2,"contracting, (2042 => 2029)",0.000518825,2071,"range: (0.9939960111488654, 1)",FALSE,2,2,9,302.4
1.20E+18,0.312762689,0.8875,7,"expanding, (735 => 1369)",0.000859963,6177,"range: (0.9463854634367641, 1)",TRUE,2,2,17,812.41
1.26E+18,0.325257135,0.8876,6,"contracting, (2316 => 2102)",0.000211266,4789,"range: (0.9787709606160426, 1)",FALSE,2,2,14,1767.75
2.20E+18,0.322661623,0.8877,13,"flat, (748 => 748)",0.000652361,1485,"range: (0.9522353592958228, 1)",FALSE,2,2,11,631.48
7.27E+17,0.312253252,0.8877,2,"contracting, (1655 => 894)",0.000998258,3166,"range: (0.9643973084289476, 1)",FALSE,2,2,10,166.95
3.70E+17,0.323655735,0.8879,5,"expanding, (1373 => 1558)",0.000614065,1930,"range: (0.9688795735565273, 1)",FALSE,2,2,7,433.49
